"To succeed, one must be creative and persistent.",John H. Johnson,"Creative, Succeed, Must ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the moment when I truly understand my enemy, understand him well enough to defeat him, then in that very moment I also love him. I think it’s impossible to really understand somebody, what they want, what they believe, and not love them the way they love themselves.","Orson Scott Card, Ender's Game","battle, empathy, enemy, understanding, war",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"the shooting and killing weren’t as black-and-white as most people think. The actions live in that hazy area of blown-apart stone walls and hesitations. Sometimes I shot when I shouldn’t have; other times I didn’t shoot when I should have. There was no way to explain why I did either. Everything happened so fast. Decisions had to be made. After I got home I began to see things in slow motion, see the actions that might’ve been mistakes.","Clint Van Winkle, Soft Spots: A Marine's Memoir of Combat and Post-Traumatic Stress Disorder","army, decisions, iraq, military, mistakes, remorse, soldiers, war",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take what is good from the pastand carve a new path.,"Jan Porter, Sacred Space, body mind soul after sexual abuse","author-stephen-richards, empowerment, inspiration, jan-porter, recovery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get to the next level by learning the art of investing in people.,-Shandel Slaten,"business, leadership, relationship, trust",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peace ain't worth fighting for.,"Brian Spellman, Cartoonist's Book Camp","conflict, fighting, irony, peace, war",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Man is the bridge of good as much as evil. He hurts and he loves. He divides and he unites. He destroys and he rebuilds. He kills and he saves lives. Yet, he denies or pretends that he does not know the other side of him. He only knows of himself as the protagonist, the righteous, and the honorable one. Others, who do not belong to his fold, are the villains, the devils, and the low-life beings. Ironically, the less he knows of his other self the more he becomes what he derides and denigrates. He is the tragic paradox of what he claims to be despite the evidence of his action that proves otherwise. (Danny Castillones Sillada, Man: The Paragon of All Paradoxes)",Danny Castillones Sillada,"bigotry, evil, good, man, messianic-complex, paradox, racism, superiority-complex, supremacy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If someone left, mean not your happiness gone surely, Happiness dependant not on others but yourself but be.[223]	- 4 (Thoughts)","Munindra Misra, Eddies of Life","happiness, thoughts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The point is, art never stopped a war and never got anybody a job. That was never its function. Art cannot change events. But it can change people. It can affect people so that they are changed... because people are changed by art – enriched, ennobled, encouraged – they then act in a way that may affect the course of events... by the way they vote, they behave, the way they think.",Leonard Bernstein,"activism, arts, inspiration, social-change",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oh, I`m sure Tristin will do it"" She said casually as she hung the dress back on the hanger. I stared at her in confusion. ""Surely he knows how to put a condom."" The visual made my insides squirm with panic. ""I mean the whole thing! All of it!"" I cried.""Oh"" She looked at me with surprise and then her expression dissolved into understanding. ""Honey, it will all come naturally.""""How do I know what natural is though? How do I know what`s right? What if I do it all wrong?""She smiled. ""The thing about men, Alexis, is they generally don`t find any of it wrong. In fact, usually the more wrong it is, the more they like it.","Kristie Cook, Promise","humor, sex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pride costs us more than hunger, thirst, and cold.",Thomas Jefferson,"cost, jefferson, pride, thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
